,loss,accuracy,val_loss,val_accuracy,lr
0,3.473846912384033,0.03893586993217468,3.263199806213379,0.11416490375995636,0.001
1,2.755077600479126,0.22674418985843658,2.2280869483947754,0.398872435092926,0.001
2,2.092156171798706,0.3966701924800873,1.6452381610870361,0.5613107681274414,0.001
3,1.6470179557800293,0.518498957157135,1.2951732873916626,0.6518675088882446,0.001
4,1.3444578647613525,0.6017441749572754,1.0858421325683594,0.7004932761192322,0.001
5,1.1420924663543701,0.6542459726333618,1.0409810543060303,0.7167019248008728,0.001
6,0.9764198064804077,0.7035764455795288,0.8894068598747253,0.7515856027603149,0.001
7,0.8523557186126709,0.7338795065879822,0.8073488473892212,0.7769556045532227,0.001
8,0.7642373442649841,0.7628611922264099,0.8015007972717285,0.772022545337677,0.001
9,0.7162511944770813,0.7759866118431091,0.7288500070571899,0.8009161353111267,0.001
10,0.6396033763885498,0.7968639731407166,0.7035602927207947,0.8012685179710388,0.001
11,0.5869602560997009,0.812632143497467,0.7203938961029053,0.8019732236862183,0.001
12,0.5448559522628784,0.8239076733589172,0.6789447665214539,0.810782253742218,0.001
13,0.48445290327072144,0.8447850346565247,0.6548526287078857,0.8224101662635803,0.001
14,0.44513368606567383,0.856589138507843,0.6487374305725098,0.8245242834091187,0.001
15,0.4249177575111389,0.8605532050132751,0.6351078748703003,0.8280479311943054,0.001
16,0.4033603072166443,0.8681289553642273,0.6820687651634216,0.8146582245826721,0.001
17,0.3762247562408447,0.8790521621704102,0.6643565893173218,0.8146582245826721,0.001
18,0.35737499594688416,0.8809020519256592,0.6370934844017029,0.8301621079444885,0.001
19,0.33065739274024963,0.8901515007019043,0.6421471238136292,0.8305144309997559,0.001
20,0.2930380702018738,0.9038935899734497,0.6556286811828613,0.8340380787849426,0.001
21,0.31457212567329407,0.8949083685874939,0.6439864635467529,0.8340380787849426,0.001
22,0.27349984645843506,0.9069767594337463,0.6249068379402161,0.8428470492362976,0.001
23,0.25991392135620117,0.9143763184547424,0.6615422368049622,0.8372092843055725,0.001
24,0.2577000558376312,0.9142001271247864,0.6395500302314758,0.8428470492362976,0.001
25,0.24190853536128998,0.9217758774757385,0.6594367623329163,0.8421423435211182,0.001
26,0.22854647040367126,0.9245947599411011,0.6451027989387512,0.8414376378059387,0.001
27,0.22508732974529266,0.9247709512710571,0.6473451256752014,0.8488371968269348,0.001
28,0.19898702204227448,0.934108555316925,0.6751659512519836,0.8456659913063049,0.001
29,0.205288827419281,0.9323467016220093,0.711006224155426,0.8372092843055725,0.001
30,0.21264177560806274,0.9286469221115112,0.667630136013031,0.8424947261810303,0.001
31,0.19204208254814148,0.9361345767974854,0.7145025134086609,0.8382663726806641,0.001
32,0.18165543675422668,0.9386011362075806,0.6615567207336426,0.8396758437156677,0.001
33,0.1598820835351944,0.9455602765083313,0.6798571944236755,0.8428470492362976,0.00075
34,0.14216047525405884,0.9525193572044373,0.708690345287323,0.8488371968269348,0.00075
35,0.14216086268424988,0.9524312615394592,0.70670485496521,0.8456659913063049,0.00075
36,0.14015033841133118,0.9548978209495544,0.6809477210044861,0.8523608446121216,0.00075
37,0.13144077360630035,0.9550740122795105,0.7261776924133301,0.8481324911117554,0.00075
38,0.13519072532653809,0.9557787179946899,0.7385382652282715,0.8417900204658508,0.00075
39,0.12510691583156586,0.9593023061752319,0.6870348453521729,0.8502466678619385,0.00075
40,0.14210772514343262,0.9520789384841919,0.7067978382110596,0.8495419025421143,0.00075
41,0.13334518671035767,0.9545454382896423,0.6857095956802368,0.8537702560424805,0.00075
42,0.1199520081281662,0.959478497505188,0.7431553602218628,0.8474277853965759,0.00075
43,0.10667555034160614,0.9633544683456421,0.6994651556015015,0.8520084619522095,0.0005625
44,0.10119292140007019,0.9641472697257996,0.6724070906639099,0.8604651093482971,0.0005625
45,0.09850046038627625,0.9666138291358948,0.6738526225090027,0.8558844327926636,0.0005625
46,0.09293349832296371,0.9685518145561218,0.7337495684623718,0.8534178733825684,0.0005625
47,0.08947227150201797,0.9696969985961914,0.7356129884719849,0.8520084619522095,0.0005625
48,0.08150618523359299,0.9726039171218872,0.7593227028846741,0.8495419025421143,0.0005625
49,0.08975707739591599,0.9702255129814148,0.7617073059082031,0.85130375623703,0.0005625
50,0.1067143976688385,0.9646758437156677,0.7601624727249146,0.8523608446121216,0.0005625
51,0.08847831189632416,0.9694327116012573,0.7267297506332397,0.8551797270774841,0.0005625
52,0.0880984365940094,0.9709302186965942,0.747871458530426,0.860112726688385,0.0005625
